# path_seg_number, u, x (m), y (m), heading (deg), radius of curvature (m), flag_to_identify_given_pose
3 ,  0.8 ,  368961.1055081916 ,  3280370.6479555434 ,  144.980452277068 ,  5.928029385849024 ,  0
3 ,  0.8500000000000001 ,  368960.8384528876 ,  3280370.8237436973 ,  148.44356754171721 ,  4.703623134725356 ,  0
3 ,  0.9 ,  368960.57768071885 ,  3280370.971672727 ,  152.61177328659403 ,  3.6013894672068485 ,  0
3 ,  0.9500000000000001 ,  368960.32544523856 ,  3280371.0890042786 ,  157.7537102062069 ,  2.6650184524905876 ,  0
4 ,  0.0 ,  368960.084 ,  3280371.173 ,  164.23785219508852 ,  -16.710637308341354 ,  1
4 ,  0.05 ,  368959.7442143499 ,  3280371.2723782086 ,  163.21383214727277 ,  -23.37903345638406 ,  0
4 ,  0.1 ,  368959.3770584863 ,  3280371.3861207413 ,  162.40002621293434 ,  -31.208179877886735 ,  0
4 ,  0.15000000000000002 ,  368958.9856666665 ,  3280371.512888312 ,  161.73451730892967 ,  -40.0652767854727 ,  0
4 ,  0.2 ,  368958.5731731481 ,  3280371.651341635 ,  161.17696064477875 ,  -49.74379580055522 ,  0
4 ,  0.25 ,  368958.1427121885 ,  3280371.800141424 ,  160.69986927323419 ,  -59.96190442485865 ,  0
4 ,  0.30000000000000004 ,  368957.6974180456 ,  3280371.957948395 ,  160.28377692221108 ,  -70.36390438885881 ,  0
4 ,  0.35000000000000003 ,  368957.24042497657 ,  3280372.1234232606 ,  159.9144012367145 ,  -80.52620472818744 ,  0
4 ,  0.4 ,  368956.77486723923 ,  3280372.295226736 ,  159.5808976161282 ,  -89.9695872213313 ,  0
4 ,  0.45 ,  368956.30387909105 ,  3280372.472019535 ,  159.27473407494315 ,  -98.1795337890266 ,  0
4 ,  0.5 ,  368955.8305947894 ,  3280372.6524623716 ,  158.98893036157034 ,  -100.0 ,  0
4 ,  0.55 ,  368955.35814859206 ,  3280372.8352159616 ,  158.7175130247978 ,  -100.0 ,  0
4 ,  0.6000000000000001 ,  368954.88967475644 ,  3280373.018941019 ,  158.45509414999995 ,  -100.0 ,  0
4 ,  0.65 ,  368954.4283075401 ,  3280373.2022982566 ,  158.1965101878023 ,  -100.0 ,  0
4 ,  0.7000000000000001 ,  368953.97718120064 ,  3280373.3839483904 ,  157.9364691003739 ,  -100.0 ,  0
4 ,  0.75 ,  368953.5394299956 ,  3280373.5625521336 ,  157.66915235883772 ,  -97.5234355129779 ,  0
4 ,  0.8 ,  368953.1181881824 ,  3280373.7367702015 ,  157.38770254713944 ,  -87.80298094376943 ,  0
4 ,  0.8500000000000001 ,  368952.7165900187 ,  3280373.905263307 ,  157.08348807068805 ,  -76.16301542959677 ,  0
4 ,  0.9 ,  368952.3377697621 ,  3280374.066692166 ,  156.74495438254718 ,  -63.35933795241617 ,  0
4 ,  0.9500000000000001 ,  368951.98486166995 ,  3280374.2197174923 ,  156.35569523529747 ,  -50.24095738998693 ,  0
5 ,  0.0 ,  368951.661 ,  3280374.363 ,  155.89098299731955 ,  -7.742444225761929 ,  1
5 ,  0.05 ,  368951.28281001165 ,  3280374.543344484 ,  153.2619773130156 ,  -10.71741555781834 ,  0
5 ,  0.1 ,  368950.87991262355 ,  3280374.756175044 ,  151.1447786342219 ,  -14.12071157542269 ,  0
